Route_State,Avg_Lead_Time,Median_Lead_Time,Lead_Time_Std,Route_Volume,Total_Sales,Total_Units,Total_Gross_Profit,Avg_Profit_Margin,Delay_Frequency_%,Route_Efficiency_Score
Lot's O' Nuts → Virginia,1229.49,1273.0,262.01,109,1538.84,431,1059.24,68.85,100.0,56.05
Lot's O' Nuts → Tennessee,1390.96,1276.0,257.72,109,1361.56,382,941.76,69.22,100.0,34.11
Wicked Choccy's → Virginia,1238.88,1273.0,254.77,106,1490.0,430,970.2,65.1,100.0,54.77
Wicked Choccy's → Arizona,1322.11,1275.0,273.2,105,1429.5,406,931.46,65.13,100.0,43.46
Lot's O' Nuts → Colorado,1347.53,1274.0,252.65,103,1447.66,405,999.0600000000001,69.2,100.0,40.01
Wicked Choccy's → North Carolina,1352.76,1274.0,261.44,101,1376.25,391,896.75,65.14,100.0,39.3
Wicked Choccy's → Michigan,1291.85,1273.5,239.86,100,1127.0,328,733.56,65.09,100.0,47.57
Lot's O' Nuts → Indiana,1366.79,1274.0,236.12,90,1253.78,352,869.58,69.28,100.0,37.39
Lot's O' Nuts → Oregon,1245.19,1273.0,269.88,77,1085.9,305,751.6,69.4,100.0,53.91
Lot's O' Nuts → Kentucky,1325.4,1274.0,276.27,77,1039.13,291,715.73,68.95,100.0,43.02
Lot's O' Nuts → Massachusetts,1292.12,1273.0,252.38,76,1003.24,281,690.54,68.65,100.0,47.54
Wicked Choccy's → Colorado,1319.84,1274.0,256.2,70,906.5,262,590.22,65.11,100.0,43.77
Wicked Choccy's → Tennessee,1393.76,1276.0,241.36,67,915.75,265,596.21,65.09,100.0,33.73
Lot's O' Nuts → New Jersey,1335.66,1275.0,278.67,65,825.88,231,567.98,69.02,100.0,41.62
Wicked Choccy's → Georgia,1346.15,1274.0,251.88,65,862.25,249,561.43,65.12,100.0,40.2
Lot's O' Nuts → Maryland,1370.67,1274.0,221.92,60,812.74,229,567.54,69.79,100.0,36.87
Wicked Choccy's → New Jersey,1335.39,1273.0,216.57,59,672.0,194,437.56,65.1,100.0,41.66
Wicked Choccy's → Kentucky,1323.81,1275.0,269.0,58,769.25,217,501.39,65.17,100.0,43.23
Lot's O' Nuts → Wisconsin,1367.64,1274.0,242.38,58,768.25,216,531.95,69.37,100.0,37.28
Wicked Choccy's → Indiana,1402.46,1275.5,257.77,54,708.25,203,461.31,65.12,100.0,32.55
Wicked Choccy's → Massachusetts,1334.44,1274.0,253.28,54,671.25,195,436.95,65.06,100.0,41.79
Wicked Choccy's → Delaware,1273.71,1274.0,210.88,49,601.5,176,391.42,65.06,100.0,50.04
Lot's O' Nuts → Connecticut,1420.55,1635.0,249.39,47,523.59,147,362.29,69.17,100.0,30.09
Wicked Choccy's → Wisconsin,1312.23,1274.0,205.33,47,737.25,215,479.83,65.08,100.0,44.81
Wicked Choccy's → Minnesota,1330.69,1275.0,310.76,45,595.25,169,387.87,65.13,100.0,42.3
Lot's O' Nuts → Minnesota,1350.4,1274.0,282.63,43,561.21,158,388.81,69.25,100.0,39.62
Wicked Choccy's → Oregon,1316.16,1273.0,242.41,43,628.25,177,409.51,65.13,100.0,44.27
Lot's O' Nuts → Delaware,1273.3,1272.0,251.92,43,631.59,177,436.19,69.24,100.0,50.09
Lot's O' Nuts → Oklahoma,1282.68,1274.0,237.45,41,569.4,160,395.0,69.19,100.0,48.82
Wicked Choccy's → Maryland,1326.71,1274.0,264.94,41,652.25,183,425.23,65.18,100.0,42.84
Lot's O' Nuts → Missouri,1364.83,1274.0,267.22,36,514.08,145,359.08,69.88,100.0,37.66
Lot's O' Nuts → Alabama,1295.21,1273.0,253.07,34,475.61,133,326.91,69.02,100.0,47.12
Wicked Choccy's → Connecticut,1272.87,1273.0,267.39,31,440.75,127,287.01,65.11,100.0,50.15
Secret Factory → California,1308.29,1274.0,288.26,31,1238.75,106,620.55,51.03,100.0,45.34
Lot's O' Nuts → Arkansas,1285.35,1273.0,274.53,31,434.69,122,299.69,68.92,100.0,48.46
Wicked Choccy's → Ontario,1248.57,1272.5,286.49,30,466.25,137,303.35,65.03,100.0,53.46
Lot's O' Nuts → Mississippi,1297.67,1273.5,286.78,30,448.43,126,312.33,69.4,100.0,46.78
Lot's O' Nuts → Rhode Island,1296.9,1273.0,301.98,30,353.76,99,242.86,68.93,100.0,46.89
Lot's O' Nuts → Utah,1236.0,1275.0,298.22,29,393.91,110,270.11,68.69,100.0,55.16
Wicked Choccy's → Missouri,1311.1,1273.0,298.12,29,362.25,105,235.82999999999998,65.08,100.0,44.96
Lot's O' Nuts → Ontario,1246.29,1271.5,261.42,28,348.32,97,239.22,68.46,100.0,53.77
Wicked Choccy's → Arkansas,1273.52,1272.0,303.38,27,393.5,112,256.38,65.12,100.0,50.07
Wicked Choccy's → Oklahoma,1332.0,1274.0,250.49,25,308.25,87,200.91,65.15,100.0,42.12
Lot's O' Nuts → Louisiana,1302.96,1274.0,283.01,24,283.71000000000004,80,197.31,69.47,100.0,46.07
Wicked Choccy's → Quebec,1243.58,1274.0,322.09,24,254.75,77,165.53,64.99,100.0,54.13
Lot's O' Nuts → Nevada,1243.25,1273.0,239.22,24,389.21000000000004,109,268.11,68.88,100.0,54.18
Secret Factory → New York,1379.62,1274.5,274.43,24,1026.25,101,514.45,50.92,100.0,35.65
Lot's O' Nuts → Quebec,1334.12,1275.0,298.55,24,242.93,68,165.83,68.53,100.0,41.83
Lot's O' Nuts → Nebraska,1336.13,1274.0,237.68,23,295.28000000000003,83,205.38,69.59,100.0,41.56
Wicked Choccy's → Utah,1273.48,1273.0,290.6,23,362.5,104,236.1,65.12,100.0,50.07
Wicked Choccy's → Mississippi,1240.45,1274.0,222.89,22,315.75,91,205.61,65.11,100.0,54.56
Wicked Choccy's → Alabama,1272.73,1273.0,252.84,22,333.75,97,217.25,65.09,100.0,50.17
The Other Factory → California,1325.0,1273.0,265.13,21,233.75,70,33.75,11.03,100.0,43.07
Wicked Choccy's → Rhode Island,1359.67,1275.0,280.1,21,282.25,81,183.83,65.08,100.0,38.36
Lot's O' Nuts → South Carolina,1290.29,1274.0,244.66,21,281.32,79,194.92000000000002,69.29,100.0,47.79
Secret Factory → Pennsylvania,1311.37,1274.0,295.96,19,762.5,100,382.9,51.16,100.0,44.92
Wicked Choccy's → South Carolina,1234.21,1273.0,240.9,19,307.0,86,200.16,65.2,100.0,55.41
Lot's O' Nuts → New Mexico,1456.94,1639.0,258.26,18,260.71,73,179.41,69.31,100.0,25.14
Lot's O' Nuts → British Columbia,1273.78,1274.0,307.08,18,253.4,71,173.8,68.02,100.0,50.03
Wicked Choccy's → New Mexico,1488.88,1639.0,226.43,17,229.5,68,149.26,65.04,100.0,20.8
Secret Factory → Texas,1227.06,1271.5,323.91,16,517.5,63,268.7,53.25,100.0,56.38
Lot's O' Nuts → Iowa,1479.0,1636.0,187.51,16,227.87,64,157.47,69.17,100.0,22.15
Lot's O' Nuts → Alberta,1273.88,1273.0,266.92,16,204.32,57,141.42000000000002,69.33,100.0,50.02
Wicked Choccy's → Louisiana,1272.27,1272.0,337.93,15,220.5,64,143.54,65.08,100.0,50.24
Lot's O' Nuts → Kansas,1248.87,1273.0,216.1,15,188.93,53,130.83,69.34,100.0,53.41
Wicked Choccy's → Iowa,1403.79,1456.0,272.0,14,172.5,48,112.5,65.15,100.0,32.37
The Other Factory → New York,1351.93,1456.5,326.82,14,181.75,54,29.75,12.7,100.0,39.41
Wicked Choccy's → Nebraska,1299.29,1274.0,225.1,14,185.75,51,121.21,65.21,100.0,46.56
Lot's O' Nuts → Idaho,1351.36,1273.0,255.75,14,146.5,41,100.9,69.0,100.0,39.49
Secret Factory → Illinois,1328.69,1635.0,360.03,13,546.25,47,273.65,50.92,100.0,42.57
Secret Factory → Ohio,1301.23,1275.0,314.93,13,768.75,60,384.95,50.92,100.0,46.3
Lot's O' Nuts → New Hampshire,1272.46,1273.0,210.88,13,178.02,50,123.02,68.96,100.0,50.21
Wicked Choccy's → Nevada,1182.25,1271.5,226.37,12,151.5,42,98.82,65.19,100.0,62.47
Secret Factory → Washington,1472.36,1637.0,190.5,11,351.25,26,175.85,50.91,100.0,23.05
Wicked Choccy's → New Hampshire,1340.09,1274.0,275.3,11,208.25,61,135.51,65.07,100.0,41.02
Wicked Choccy's → Manitoba,1455.6,1455.0,192.9,10,120.25,35,78.27,65.0,100.0,25.33
The Other Factory → Texas,1191.56,1273.0,304.52,9,100.75,31,7.75,7.69,100.0,61.2
Sugar Shack → New York,1314.11,1275.0,285.41,9,56.97,31,29.12,50.89,100.0,44.55
Wicked Choccy's → Kansas,1314.0,1273.0,337.84,9,74.25,21,48.39,65.19,100.0,44.57
Lot's O' Nuts → South Dakota,1477.22,1640.0,322.72,9,117.59,33,82.09,69.98,100.0,22.39
Lot's O' Nuts → District Of Columbia,1365.88,1275.0,168.58,8,126.0,35,85.3,67.71,100.0,37.52
Wicked Choccy's → Alberta,1274.38,1274.0,338.39,8,146.0,44,94.88,65.02,100.0,49.95
Lot's O' Nuts → Montana,1319.25,1273.5,234.0,8,92.61,26,64.01,68.88,100.0,43.85
The Other Factory → Pennsylvania,1273.0,1274.0,210.46,7,97.5,30,7.5,7.69,100.0,50.14
Wicked Choccy's → Idaho,1325.0,1274.0,328.43,7,78.75,23,51.25,65.1,100.0,43.07
Secret Factory → Georgia,1377.86,1638.0,347.51,7,317.5,29,159.1,51.14,100.0,35.89
Secret Factory → Florida,1482.14,1639.0,196.26,7,78.75,35,52.15,56.0,100.0,21.72
Secret Factory → Colorado,1376.57,1272.0,178.94,7,171.25,20,103.85,55.43,100.0,36.06
Wicked Choccy's → Montana,1221.86,911.0,389.9,7,109.5,30,71.46,65.27,100.0,57.08
Lot's O' Nuts → Newfoundland And Labrador,1216.17,1094.5,357.45,6,162.0,45,112.5,69.44,100.0,57.86
Wicked Choccy's → Nova Scotia,1272.67,1273.0,326.91,6,87.5,26,56.900000000000006,65.06,100.0,50.18
Lot's O' Nuts → Prince Edward Island,1395.83,1456.5,298.67,6,78.1,22,54.9,70.08,100.0,33.45
Lot's O' Nuts → Maine,1213.5,1274.5,149.66,6,71.23,20,49.03,69.93,100.0,58.22
Lot's O' Nuts → Vermont,1492.4,1638.0,200.29,5,103.19,29,72.39,70.59,100.0,20.33
Secret Factory → Wisconsin,1346.4,1274.0,163.57,5,415.0,32,207.8,50.8,100.0,40.16
Secret Factory → Virginia,1053.4,910.0,200.02,5,93.75,15,47.15,51.6,100.0,79.97
Wicked Choccy's → Vermont,1418.6,1273.0,200.29,5,51.75,15,33.69,65.17,100.0,30.35
Secret Factory → Michigan,1346.2,1274.0,306.52,5,82.5,21,41.7,51.6,100.0,40.19
Secret Factory → Arizona,1127.4,909.0,327.53,5,640.0,32,320.0,50.0,100.0,69.92
Lot's O' Nuts → North Dakota,1638.2,1637.0,1.64,5,57.160000000000004,16,39.66,69.27,100.0,0.52
The Other Factory → Washington,1275.0,1276.0,298.02,4,52.0,16,4.0,7.69,100.0,49.86
The Other Factory → Virginia,1180.5,1270.5,181.67,4,55.25,17,4.25,7.69,100.0,62.7
Wicked Choccy's → British Columbia,1364.75,1456.0,349.98,4,37.5,10,24.5,65.33,100.0,37.67
Lot's O' Nuts → New Brunswick,1273.25,1273.0,298.43,4,97.72,28,69.72,71.35,100.0,50.1
Wicked Choccy's → New Brunswick,1273.25,1273.0,298.43,4,75.0,20,49.0,65.33,100.0,50.1
Secret Factory → Indiana,1456.25,1456.0,209.87,4,21.25,17,11.05,52.0,100.0,25.24
Wicked Choccy's → Prince Edward Island,1457.0,1457.0,211.31,4,52.0,16,33.76,64.92,100.0,25.14
Secret Factory → North Carolina,1548.0,1637.0,181.36,4,20.0,16,10.4,52.0,100.0,12.77
The Other Factory → Massachusetts,1150.67,1272.0,211.02,3,32.5,10,2.5,7.69,100.0,66.76
Secret Factory → Rhode Island,1394.33,1275.0,210.17,3,142.5,9,71.3,50.67,100.0,33.65
Wicked Choccy's → South Dakota,1152.0,908.0,422.62,3,33.75,9,22.05,65.33,100.0,66.58
Secret Factory → Tennessee,1395.33,1273.0,211.89,3,62.5,20,31.7,51.33,100.0,33.51
Sugar Shack → Florida,1031.0,909.0,211.31,3,36.89,15,22.64,61.54,100.0,83.02
Sugar Shack → Michigan,1395.0,1273.0,212.18,3,17.740000000000002,7,10.09,56.33,100.0,33.56
Sugar Shack → Pennsylvania,1396.33,1275.0,211.02,3,24.23,8,14.43,56.33,100.0,33.38
Sugar Shack → Texas,1395.33,1273.0,212.75,3,15.0,10,7.0,46.67,100.0,33.51
Secret Factory → Maryland,1517.67,1638.0,211.03,3,8.75,7,4.55,52.0,100.0,16.89
The Other Factory → Tennessee,1395.67,1276.0,211.61,3,42.25,13,3.25,7.69,100.0,33.47
The Other Factory → Florida,1029.33,907.0,212.75,3,39.0,12,3.0,7.69,100.0,83.24
Secret Factory → Alabama,1272.33,1272.0,366.5,3,150.0,15,75.2,50.67,100.0,50.23
The Other Factory → Ohio,1272.0,1271.0,1.73,3,29.25,9,2.25,7.69,100.0,50.27
The Other Factory → New Jersey,1395.33,1274.0,211.02,3,68.25,21,5.25,7.69,100.0,33.51
Secret Factory → Kentucky,1637.5,1637.5,0.71,2,46.25,7,23.25,51.0,100.0,0.61
Secret Factory → Louisiana,908.5,908.5,0.71,2,11.25,9,5.85,52.0,100.0,99.66
Secret Factory → Arkansas,1456.5,1456.5,259.51,2,63.75,6,31.95,51.0,100.0,25.2
Secret Factory → Massachusetts,1455.0,1455.0,260.22,2,100.0,5,50.0,50.0,100.0,25.41
Secret Factory → Alberta,1274.5,1274.5,516.9,2,180.0,9,90.0,50.0,100.0,49.93
Wicked Choccy's → Maine,908.0,908.0,0.0,2,55.25,15,36.07,65.12,100.0,99.73
Secret Factory → Nevada,1091.0,1091.0,261.63,2,202.5,12,101.3,51.0,100.0,74.86
Secret Factory → New Jersey,1274.5,1274.5,2.12,2,6.25,5,3.25,52.0,100.0,49.93
Wicked Choccy's → West Virginia,1639.0,1639.0,0.0,2,25.25,7,16.47,65.12,100.0,0.41
Lot's O' Nuts → West Virginia,1637.0,1637.0,2.83,2,38.72,11,27.42,70.4,100.0,0.68
Secret Factory → New Mexico,906.0,906.0,2.83,2,12.5,10,6.5,52.0,100.0,100.0
Wicked Choccy's → Saskatchewan,1457.0,1457.0,258.8,2,29.25,9,18.99,64.92,100.0,25.14
Secret Factory → Oregon,1271.5,1271.5,0.71,2,180.0,9,90.0,50.0,100.0,50.34
Secret Factory → Quebec,1273.5,1273.5,516.9,2,100.0,5,50.0,50.0,100.0,50.07
Wicked Choccy's → District Of Columbia,1275.0,1275.0,0.0,2,16.25,5,10.55,64.92,100.0,49.86
The Other Factory → New Hampshire,1088.5,1088.5,258.09,2,35.75,11,2.75,7.69,100.0,75.2
Sugar Shack → Illinois,1089.0,1089.0,257.39,2,12.0,5,6.3,50.0,100.0,75.14
Sugar Shack → Ohio,1637.5,1637.5,3.54,2,18.46,11,9.86,54.49,100.0,0.61
The Other Factory → Arizona,1271.5,1271.5,0.71,2,38.75,10,18.75,42.74,100.0,50.34
The Other Factory → Colorado,1273.5,1273.5,2.12,2,19.5,6,1.5,7.69,100.0,50.07
The Other Factory → Connecticut,907.5,907.5,2.12,2,9.75,3,0.75,7.69,100.0,99.8
The Other Factory → Delaware,1456.5,1456.5,260.92,2,26.0,8,2.0,7.69,100.0,25.2
The Other Factory → Georgia,1456.0,1456.0,258.8,2,39.0,12,3.0,7.69,100.0,25.27
The Other Factory → Kentucky,1271.0,1271.0,519.02,2,26.0,8,2.0,7.69,100.0,50.41
The Other Factory → Oregon,1089.0,1089.0,258.8,2,26.0,8,2.0,7.69,100.0,75.14
Lot's O' Nuts → Manitoba,1454.0,1454.0,258.8,2,18.0,5,12.0,66.67,100.0,25.54
Wicked Choccy's → North Dakota,1637.0,1637.0,0.0,2,52.5,14,34.3,65.33,100.0,0.68
The Other Factory → Alabama,1457.0,1457.0,257.39,2,35.75,11,2.75,7.69,100.0,25.14
The Other Factory → Missouri,1275.0,1275.0,,1,6.5,2,0.5,7.69,100.0,49.86
The Other Factory → South Carolina,1273.0,1273.0,,1,6.5,2,0.5,7.69,100.0,50.14
Sugar Shack → Arizona,1274.0,1274.0,,1,11.25,3,6.75,60.0,100.0,50.0
Lot's O' Nuts → Wyoming,1274.0,1274.0,,1,13.96,4,9.96,71.35,100.0,50.0
Secret Factory → Connecticut,1638.0,1638.0,,1,2.5,2,1.3,52.0,100.0,0.54
Secret Factory → Delaware,909.0,909.0,,1,60.0,3,30.0,50.0,100.0,99.59
Secret Factory → Minnesota,909.0,909.0,,1,5.0,4,2.6,52.0,100.0,99.59
Secret Factory → Mississippi,908.0,908.0,,1,80.0,4,40.0,50.0,100.0,99.73
Secret Factory → Nebraska,906.0,906.0,,1,2.5,2,1.3,52.0,100.0,100.0
Secret Factory → New Hampshire,1641.0,1641.0,,1,6.25,5,3.25,52.0,100.0,0.14
Secret Factory → South Carolina,909.0,909.0,,1,6.25,5,3.25,52.0,100.0,99.59
Secret Factory → Utah,1275.0,1275.0,,1,100.0,5,50.0,50.0,100.0,49.86
Secret Factory → Vermont,1273.0,1273.0,,1,7.5,6,3.9,52.0,100.0,50.14
Sugar Shack → California,1638.0,1638.0,,1,6.0,4,2.8,46.67,100.0,0.54
The Other Factory → Rhode Island,1273.0,1273.0,,1,22.75,7,1.75,7.69,100.0,50.14
Sugar Shack → Delaware,910.0,910.0,,1,4.5,3,2.1,46.67,100.0,99.46
Sugar Shack → New Jersey,1642.0,1642.0,,1,5.97,3,3.72,62.31,100.0,0.0
Sugar Shack → Rhode Island,1273.0,1273.0,,1,4.5,3,2.1,46.67,100.0,50.14
Sugar Shack → Tennessee,1272.0,1272.0,,1,1.5,1,0.6,40.0,100.0,50.27
Sugar Shack → Washington,1638.0,1638.0,,1,1.99,1,1.24,62.31,100.0,0.54
The Other Factory → Indiana,1274.0,1274.0,,1,19.5,6,1.5,7.69,100.0,50.0
The Other Factory → Louisiana,907.0,907.0,,1,9.75,3,0.75,7.69,100.0,99.86
The Other Factory → Maryland,1274.0,1274.0,,1,3.25,1,0.25,7.69,100.0,50.0
The Other Factory → Nevada,1638.0,1638.0,,1,16.25,5,1.25,7.69,100.0,0.54
The Other Factory → North Carolina,1635.0,1635.0,,1,9.0,2,7.0,77.78,100.0,0.95
Sugar Shack → Connecticut,1641.0,1641.0,,1,3.98,2,2.48,62.31,100.0,0.14
